Gene,A_case1,A_case2,A_case3,A_case4,A_case5,A_ctrl1,A_ctrl2,A_ctrl3,A_ctrl4,A_ctrl5
GENE1,87,95,82,92,98,43,46,49,52,45
GENE2,89,83,92,92,86,54,40,45,46,51
GENE3,104,92,78,73,88,58,45,41,56,54
GENE4,96,87,99,86,86,55,60,40,56,56
GENE5,90,86,101,88,84,45,63,53,57,60
GENE6,46,44,48,40,65,50,69,50,45,52
GENE7,34,61,41,54,44,47,53,39,46,54
GENE8,50,53,54,64,47,45,57,51,39,61
GENE9,47,60,53,52,39,51,53,55,46,53
GENE10,53,39,45,60,57,52,43,45,53,62
GENE11,48,45,58,42,64,51,41,60,54,47
GENE12,57,50,57,54,60,47,52,49,45,29
GENE13,57,41,56,53,34,51,50,57,49,58
GENE14,48,42,51,53,51,48,47,33,59,49
GENE15,50,42,48,53,47,50,53,37,64,48
GENE16,49,64,43,39,39,37,58,57,40,53
GENE17,55,45,55,47,47,59,55,50,46,48
GENE18,61,66,53,45,54,39,35,49,47,41
GENE19,52,38,54,47,47,56,48,40,35,40
GENE20,55,69,45,37,53,49,52,33,49,45
GENE21,49,52,54,46,54,61,52,63,33,47
GENE22,52,58,48,58,49,67,44,52,40,50
GENE23,50,51,60,41,56,54,41,47,48,61
GENE24,50,48,50,50,53,37,41,41,43,61
GENE25,53,43,42,42,40,43,50,53,36,57
GENE26,43,47,52,49,31,50,40,51,45,43
GENE27,52,56,38,52,49,45,53,52,39,44
GENE28,43,38,40,57,42,63,51,56,46,50
GENE29,40,45,42,51,46,46,45,56,49,47
GENE30,40,64,51,41,43,42,53,47,48,49
GENE31,49,55,44,47,61,53,41,52,60,41
GENE32,44,47,40,41,57,44,55,54,44,43
GENE33,52,49,42,50,63,54
