Gene,B_case1,B_case2,B_case3,B_case4,B_ctrl1,B_ctrl2,B_ctrl3,B_ctrl4
GENE1,83,77,91,80,46,52,68,48
GENE2,86,86,84,80,35,51,52,49
GENE3,85,88,87,83,49,61,51,41
GENE4,40,45,65,50,52,45,56,50
GENE5,52,58,51,43,59,49,54,54
GENE6,46,57,54,45,55,55,56,53
GENE7,58,38,38,48,47,50,37,57
GENE8,34,48,44,48,46,44,47,50
GENE9,52,37,44,57,51,41,45,45
GENE10,53,55,34,54,58,44,46,47
GENE11,58,49,38,50,53,55,66,46
GENE12,56,34,67,49,43,47,56,57
GENE13,43,49,44,52,41,55,53,55
GENE14,60,47,40,45,46,40,50,51
GENE15,54,56,40,56,40,56,47,58
GENE16,61,56,48,36,44,55,69,47
GENE17,43,52,52,57,48,45,62,49
GENE18,54,41,53,51,50,37,57,51
GENE19,33,49,59,68,51,49,37,56
GENE20,49,44,53,51,50,63,53,46
GENE21,55,48,50,40,48,56,48,52
GENE22,56,51,53,39,44,31,59,66
GENE23,49,50,45,60,56,50,52,46
GENE24,43,50,46,56,51,48,41,50
GENE25,46,44,44,55,48,46,57,47
GENE26,56,52,38,54,56,66,45,46
GENE27,56,50,47,58,55,62,45,43
GENE28,59,55,65,47,56,48,58,49
GENE29,54,34,42,51,41,42,45,54
GENE30,44,51,61,54,51,46,52,55
GENE31,37,45,54,35,65,54,43,55
GENE32,45,49,37,40,55,48,48,43
GENE33,45,52,46,52,53,44,54,46
GENE34,52,65,43,54,48,52,49,48
GENE35,43,39,62,45,55,52,53,55
GENE36,43,55,44,45,36,55,54,63
GENE37,43,55,50,47,52,45,60,56
GENE38,53,54,49,64,58,49,46,35
GENE39,63,56,53,42,37,53,57,40
GENE40,46,50,47,46,66,47,64,39
GENE41,51,43,54,59,49,42,42,44
GENE42,42,55,50,38,44,39,50,44
GENE43,48,52,48,51,54,50,59,51
GENE44,52,46,54,48,43,48,57,49
GENE45,53,44,55,58,46,49,49,48
GENE46,61,37,48,71,53,47,51,44
GENE47,47,47,55,54,44,50,57,51
GENE48,56,56,57,41,52,42,60,61
GENE49,52,60,53,49,45,46,43,61
GENE50,43,54,57,57,54,64,46,43
GENE51,44,45,57,56,38,47,44,46
GENE52,60,44,37,55,44,48,56,46
GENE53,44,56,56,58,51,59,56,54
GENE54,44,47,57,52,49,54,64,50
GENE55,54,45,53,42,49,58,52,58
GENE56,68,50,42,45,52,47,38,53
GENE57,43,45,61,58,46,38,37,44
GENE58,45,42,45,46,44,45,54,43
GENE59,41,59,38,46,57,52,41,45
GENE60,38,46,35,49,51,46,60,43
GENE61,55,50,47,48,49,40,66,51
GENE62,50,44,47,41,43,44,58,51
GENE63,47,47,51,57,54,44,44,57
GENE64,55,49,39,62,45,49,56,50
GENE65,56,58,47,52,50,34,51,58
GENE66,44,55,52,42,57,55,56,54
GENE67,63,36,58,56,47,63,52,46
GENE68,55,54,47,49,47,64,47,36
GENE69,42,49,44,53,56,61,56,53
GENE70,48,60,46,45,43,48,40,51
GENE71,50,52,42,51,47,53,57,53
GENE72,48,57,52,43,52,51,42,46
GENE73,49,34,54,44,44,47,57,47
GENE74,57,43,49,58,47,58,49,63
GENE75,63,51,49,42,55,48,52,53
GENE76,47,48,57,47,39,48,53,48
GENE77,42,51,50,67,62,53,56,54
GENE78,55,51,49,62,58,50,51,32
GENE79,70,55,54,65,56,52,54,64
GENE80,53,46,48,42,38,39,53,42
GENE81,74,44,63,34,51,46,52,45
GENE82,45,47,34,44,39,46,38,56
GENE83,50,46,51,51,56,41,47,54
GENE84,54,53,46,48,54,54,48,55
GENE85,54,53,59,49,48,46,58,64
GENE86
